Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
no,¡Átame!,Tie Me Up! Tie Me Down!,1990,Movie,DVD,,United Kingdom,,1,no,yes,1.85:1,97,Pedro Almodóvar,Owned,,,no,no,no,no,2778,0,tt0101026,,,,,,,,
yes,¿Qué he hecho yo para merecer esto!!,Mitä olen tehnyt ansaitakseni tämän?,1984,Movie,DVD,,Finland,,1,yes,no,1.85:1,97,Pedro Almodóvar,Owned,Fair,kevyttä jälkeä siellä täällä,no,no,no,no,451,5706550024750,tt0088461,,,,,,,,
yes,... And Justice for All,... ja oikeutta kaikille,1979,Movie,DVD,Deluxe Edition,Finland,,1,yes,yes,1.85:1,114,Norman Jewison,Owned,Fair,,no,no,no,no,2158,5051160220116,tt0078718,,,,,,,,
yes,... And Justice for All,,1979,Movie,DVD,,Nordic,,,yes,,,,Norman Jewison,Owned,Good,,no,no,no,no,,,tt0078718,7617,,,,,,,
yes,...continuavano a chiamarlo Trinità,Trinity ratsastaa jälleen,1971,Movie,DVD,,Finland,,1,yes,no,1.85:1,113,Enzo Barboni,Owned,Excellent,,no,no,no,no,3365,6416548908113,tt0068154,,,,,,,,
no,...E tu vivrai nel terrore! L'aldilà,Rædslernes Hotel: The Beyond,1981,Movie,DVD,,Denmark,,1,yes,no,2.35:1,89,Lucio Fulci,Owned,Still Wrapped,,no,no,no,no,5461,5709498010038,tt0082307,,,,,no,no,no,
no,...E tu vivrai nel terrore! L'aldilà,The Beyond,1981,Movie,Blu-ray,,United Kingdom,,1,no,no,,0,Lucio Fulci,Owned,,,no,no,no,no,7427,5060162232140,tt0082307,,,,,no,no,no,
yes,...Più forte ragazzi!,Siitä vaan pojat!,1972,Movie,DVD,,Finland,,1,yes,no,1.85:1,89,Giuseppe Colizzi,Owned,Poor - Slightly Damaged,,no,no,no,no,6720,6416548908212,tt0069095,,,,,no,no,no,
no,(500) Days of Summer,,2009,Movie,Blu-ray,,Finland,,1,no,no,2.40:1,95,Marc Webb,Owned,Excellent,,no,no,no,no,7795,6438044238563,tt1022603,,,,,no,no,no,
yes,[Rec],[Rec],2007,Movie,DVD,,Finland,,2,yes,no,1.78:1,75,"Jaume Balagueró, Paco Plaza",Owned,Fair,,no,no,no,no,489,6416548483214,tt1038988,,,,,,,,
yes,[Rec] ²,[Rec] 2 - The Virus is Back,2009,Movie,DVD,,Finland,,1,yes,no,1.77:1,81,"Jaume Balagueró, Paco Plaza",Owned,Excellent,,no,no,no,no,490,6438194014314,tt1245112,,,,,,,,
yes,[REC] 4: Apocalipsis,[REC] Apocalypse,2014,Movie,DVD,,Finland,,1,yes,no,,0,Jaume Balagueró,Owned,Excellent,,no,no,no,no,3800,6430051161841,tt1649443,,Night Visions,,,,,,
yes,[REC] 4: Apocalipsis,[Rec] 4: Apocalypse,2014,Movie,Blu-ray,,Sweden,,1,yes,no,1.85:1,91,Jaume Balagueró,Owned,Still Wrapped,,no,no,no,no,8186,7340110407447,tt1649443,,,,,no,no,no,
yes,[Rec]³: Génesis,[REC]: Genesis,2012,Movie,DVD,,Finland,,1,yes,no,,0,Paco Plaza,Owned,Excellent,,no,yes,no,no,3720,6430051161520,tt1649444,,Night Visions,,,,,,
no,10 Cloverfield Lane,,2016,Movie,Blu-ray,,Finland,,1,yes,no,2.40:1,104,Dan Trachtenberg,Owned,,,no,no,no,no,8559,7340112729950,tt1179933,,,,,no,no,no,
no,10 Things I Hate About You,,1999,Movie,DVD,,Finland,,1,no,no,1.85:1,93,Gil Junger,Owned,,,no,no,no,no,8166,7393834139903,tt0147800,,,,,no,no,no,
no,"10,000 BC",,2008,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,108,Roland Emmerich,Owned,Good,,no,no,no,no,6334,5051895033555,tt0443649,,,,,no,no,no,
yes,100 Feet,,2008,Movie,DVD,Unrated and Uncut,Finland,,1,yes,no,2.35:1,96,Eric Red,Owned,Excellent,,no,no,no,no,4378,7340066995746,tt0899128,,,,,,,,
