Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,Trilogy of the Dead,,1900,,DVD,,Finland,,4,no,no,,517,,Owned,Fair,"levytt keskiäärin hyväkuntoisia, joissakin aivan aavistus jälkeä",no,no,no,no,189,6416548352312,tt0000000,,,,,,,,
no,Planet of the Apes - Collection,Apornas Planet Box - Collection,1900,Movie,DVD,,Sweden,,5,no,no,,0,,Owned,,,no,no,no,no,190,7391772395610,tt0000000,,,,,,,,
yes,The Adventures of Indiana Jones: The Complete DVD Movie Collection,,1900,Movie,DVD,,Finland,,4,no,no,,532,,Owned,,,no,no,no,no,356,5055025345174,tt0000000,,,,,,,,
yes,A Nightmare on Elm Street Collection,,1900,Movie,DVD,,Nordic,,8,yes,yes,,626,,Owned,Good,,no,no,no,no,680,5051895079515,tt0000000,,,,,,,,
no,Hitchcock Classic Collection,,0,,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,693,6416548833149,tt0000000,,,,,,,,
yes,John Hughes Collection - Breakfast Club/Weird Science/Sixteen Candles,,1900,,DVD,,United Kingdom,,3,yes,yes,,269,John Hughes,Owned,Poor - Slightly Damaged,parissa levyssä kevyttä naarmua,no,no,no,no,844,5050582361865,tt0000000,,,,,,,,
yes,The Blues Brothers/National Lampoon's Animal House,,1900,,DVD,,United Kingdom,,1,no,no,,232,John Landis,Owned,,,no,no,no,no,865,5050582472189,tt0000000,,,,,,,,
yes,Robocop Trilogy,,1900,Movie,DVD,,United Kingdom,,3,yes,yes,,311,,Owned,Good,,no,no,yes,no,948,5050070006797,,,,,,,,,
no,The Ultimate Matrix Collection,,1900,Movie,DVD,,United Kingdom,,10,no,no,,603,,Owned,,,no,no,no,no,978,7321900590808,,,,,,,,,
yes,Predator - Special Edition Collection,,1900,Movie,DVD,,United Kingdom,,4,yes,no,,213,,Owned,Excellent,,no,no,yes,no,1017,5039036020503,,,,,,,,,
yes,Shrek 3D & Shrek,,1900,Movie,DVD,,Finland,,2,yes,yes,,0,,Owned,Excellent,3D-lasit mukana (2 kpl),no,no,no,no,1493,7332505000791,tt0000000,,,,,,,,
yes,Sherlock Holmes - 4 classic movies in color,,1900,Movie,DVD,,Nordic,,1,yes,no,,269,,Owned,Still Wrapped,,no,no,no,no,1637,7046689004277,tt0000000,,,,,,,,
yes,Days of Thunder/Top Gun,,1900,,DVD,,Nordic,,1,yes,yes,2.40:1,208,,Owned,,,no,no,no,no,1716,7332431031616,tt0000000,,,,,,,,
yes,The Hunger Games: Complete 4-Film Collection,,1900,Movie,Blu-ray,,Nordic,,4,no,no,,563,,Owned,,,no,no,no,no,1906,5708758716932,tt0000000,,,,,,,,
